,,,
,,,
Vertical_Name,ICS_Top3_Share,DIS_PC_Search,CPC_Diff_PC_vs_Mobile
Apparel,"89,9",NA,#VALUE!
Beauty & Personal Care,"46,9",NA,#VALUE!
Computers & Consumer Electronics,100,85,"0,26"
Finance,"67,1",82,"0,83"
Travel & Tourism,"65,2",81,"0,49"
Business & Industrial,"62,6",80,"0,35"
Automotive,"82,1",78,"0,18"
Hobbies & Leisure,"75,2",77,"0,16"
Arts & Entertainment,"71,8",75,"0,15"
Media & Publications,"65,6",67,"0,18"
Home & Garden,"59,9",66,"0,27"
,,,
,,,
,,,
Vertical_Name,ICS_Top3_Share,DIS_PC_Search,CPC_Diff_PC_vs_Mobile
Computers & Consumer Electronics,100,85,"0,26"
Apparel,"89,9",NA,#VALUE!
Automotive,"82,1",78,"0,18"
Hobbies & Leisure,"75,2",77,"0,16"
Arts & Entertainment,"71,8",75,"0,15"
Finance,"67,1",82,"0,83"
Media & Publications,"65,6",67,"0,18"
Travel & Tourism,"65,2",81,"0,49"
Business & Industrial,"62,6",80,"0,35"
Home & Garden,"59,9",66,"0,27"
Beauty & Personal Care,"46,9",NA,#VALUE!
,,,
,,,
Vertical_Name,ICS_Top3_Share,DIS_PC_Search,CPC_Diff_PC_vs_Mobile
Apparel,"89,9",NA,#VALUE!
Beauty & Personal Care,"46,9",NA,#VALUE!
Finance,"67,1",82,"0,83"
Travel & Tourism,"65,2",81,"0,49"
Business & Industrial,"62,6",80,"0,35"
Home & Garden,"59,9",66,"0,27"
Computers & Consumer Electronics,100,85,"0,26"
Media & Publications,"65,6",67,"0,18"
Automotive,"82,1",78,"0,18"
Hobbies & Leisure,"75,2",77,"0,16"
Arts & Entertainment,"71,8",75,"0,15"
